tconst	averageRating	numVotes
tt0059359	7.2	56
tt0059410	6.9	4023
tt0059431	5.7	1382
tt0059475	5.3	296
tt0059486	4.9	587
tt0059716	5.1	119
tt0059986	7.3	229
tt0060117	5.7	518
tt0060237	5.6	10
tt0060439	7.0	77
tt0060631	7.2	84
tt0060983	6.1	1555
tt0061014	4.1	1505
tt0061077	6.9	199
tt0061090	6.2	104
tt0061232	7.8	69
tt0061289	8.0	1105
tt0061291	6.3	12
tt0061315	6.0	136
tt0061719	5.5	622
tt0061845	5.4	30
tt0062297	5.4	163
tt0062516	5.6	177
tt0062800	4.5	117
tt0062887	4.7	42
tt0063008	5.9	264
tt0063084	7.6	1207
tt0063170	6.4	338
tt0063172	6.4	7938
tt0063190	5.3	14
tt0063206	6.1	2025
tt0063250	5.9	20
tt0063558	7.3	46
tt0063629	7.8	46
tt0063744	8.0	13
tt0063948	7.7	1266
tt0063998	6.1	95
tt0064050	7.8	22
tt0064159	5.6	162
tt0064192	5.9	302
tt0064201	3.6	17
tt0064229	7.4	45
tt0064332	5.1	97
tt0064447	4.5	19
tt0064576	6.1	244
tt0064698	5.3	104
tt0065100	7.2	69
tt0065200	9.0	46
tt0065238	6.7	122
tt0065252	5.6	68
tt0065259	6.9	104
tt0065620	6.5	1482
tt0065741	7.7	10
tt0065830	6.7	69
tt0066082	4.3	23
tt0066757	4.6	208
tt0066778	5.6	33
tt0066787	7.2	193
tt0066811	5.9	2090
tt0066921	8.2	892334
tt0067030	4.9	253
tt0067152	6.3	27
tt0067197	7.3	983
tt0067419	6.1	3325
tt0067508	4.8	336
tt0067675	7.0	79
tt0067714	4.8	247
tt0067766	6.0	55
tt0067835	5.6	299
tt0067847	5.5	299
tt0067899	5.4	84
tt0068021	6.8	712
tt0068112	7.6	5784
tt0068119	8.7	17
tt0068156	7.6	10620
tt0068191	6.0	251
tt0068209	5.8	98
tt0068379	5.6	1212
tt0068486	2.9	374
tt0068688	6.1	1906
tt0068722	5.8	72
tt0068814	8.2	2876
tt0068870	5.7	595
tt0068884	7.1	342
tt0068941	7.1	513
tt0068964	5.4	84
tt0069035	8.0	5394
tt0069262	5.2	70
tt0069290	5.4	187
tt0069462	4.0	30
tt0069476	5.8	13
tt0069503	6.2	98
tt0069684	7.1	357
tt0069733	8.8	909
tt0069810	6.9	2038
tt0069890	5.9	3586
tt0069996	5.7	392
tt0070332	6.4	868
tt0070387	5.7	15
tt0070424	7.5	1027
tt0070470	5.7	25
tt0070533	6.3	541
tt0070604	6.0	78
tt0070672	6.8	6815
tt0070703	4.0	173
tt0070826	6.9	1771
tt0070892	6.0	45
tt0070910	3.3	702
tt0070915	6.4	5938
tt0070922	7.4	249
tt0071053	7.0	57
tt0071219	5.8	648
tt0071287	4.6	129
tt0071353	4.2	39
tt0071356	2.9	163
tt0071408	6.4	5851
tt0071435	4.5	74
tt0071743	6.3	340
tt0071777	5.6	169
tt0072045	6.9	14
tt0072112	6.2	7
tt0072141	6.3	8
tt0072154	7.5	92
tt0072158	6.9	112
tt0072204	6.5	2557
tt0072259	7.2	83
tt0072307	7.0	833
tt0072358	6.5	110
tt0073036	6.2	5954
tt0073318	4.3	44
tt0073459	3.9	25
tt0073720	6.2	1311
tt0073727	3.3	29
tt0073778	6.5	4368
tt0073844	7.1	91
tt0073979	6.6	178
tt0074026	6.9	95
tt0074134	6.1	15
tt0074188	5.0	15
tt0074295	7.0	359
tt0074329	6.2	2803
tt0074370	6.8	74
tt0074410	5.0	28
tt0074441	5.7	2046
tt0074739	7.1	821
tt0074747	4.9	1174
tt0075128	6.5	1446
tt0075188	4.8	635
tt0075329	7.0	906
tt0075523	6.3	37
tt0075539	7.2	41
tt0075767	5.0	19
tt0075806	4.5	352
tt0075852	6.7	1310
tt0075863	7.2	532
tt0075947	7.3	46
tt0075951	6.7	31
tt0075967	5.8	33
tt0076025	4.6	12
tt0076179	6.3	115
tt0076259	6.0	419
tt0076293	6.0	571
tt0076305	6.9	32
tt0076721	5.4	358
tt0077043	7.3	37
tt0077114	7.3	456
tt0077164	6.9	451
tt0077186	4.5	159
tt0077317	5.4	174
tt0077396	5.0	44
tt0077414	4.0	2531
tt0077505	5.6	846
tt0077664	5.8	140
tt0078249	6.2	530
tt0078359	6.9	179
tt0078491	6.7	264
tt0078516	7.3	990
tt0078754	7.8	36330
tt0078763	7.8	8490
tt0079055	6.8	57
tt0079071	5.4	11
tt0079108	4.7	203
tt0079116	7.6	149733
tt0079269	6.6	152
tt0079272	7.1	520
tt0079360	5.4	369
tt0079452	6.1	109
tt0079483	6.5	188
tt0079617	6.2	220
tt0079640	6.9	6104
tt0079648	6.7	291
tt0079726	5.9	63
tt0080225	7.1	57
tt0080326	6.8	53
tt0080418	5.1	72
tt0080895	6.0	2045
tt0081195	7.0	47
tt0081248	5.6	6532
tt0081319	5.5	15
tt0081349	7.4	1757
tt0081645	5.5	42
tt0081750	7.4	802
tt0081757	3.7	285
tt0081783	4.7	21
tt0082011	6.4	326
tt0082360	7.4	642
tt0082537	4.8	2240
tt0082685	4.1	415
tt0082910	3.8	10100
tt0082946	6.8	132
tt0083019	4.7	1184
tt0083332	7.8	6
tt0083466	8.4	21146
tt0083948	6.9	100
tt0083999	3.6	433
tt0084236	5.6	82
tt0084354	7.3	3596
tt0084545	3.6	10
tt0084764	7.7	3098
tt0084908	6.9	149
tt0085025	5.7	21
tt0085030	5.3	9
tt0085119	6.2	24
tt0085351	6.9	228
tt0085407	7.2	78774
tt0085545	6.3	32
tt0085714	6.9	17
tt0085767	7.5	716
tt0085892	3.8	700
tt0086075	7.4	287
tt0086176	4.7	3280
tt0086198	7.3	961
tt0086423	7.3	12253
tt0086488	5.2	405
tt0086700	8.1	25
tt0086712	6.8	125
tt0086776	6.4	258
tt0086840	4.2	223
tt0086920	6.4	13
tt0087170	6.7	135
tt0087186	5.1	128
tt0087267	6.6	279
tt0087565	6.7	24
tt0088118	6.2	145
tt0088446	5.7	8
tt0088504	8.3	409
tt0088658	7.0	1253
tt0088665	5.4	8
tt0088670	6.2	137
tt0088747	6.0	27
tt0088830	3.9	696
tt0089021	6.0	73
tt0089136	7.1	228
tt0089165	6.9	656
tt0089230	6.7	177
tt0089303	3.8	10
tt0089409	5.5	129
tt0089588	8.0	15
tt0089700	6.3	338
tt0089914	5.7	9
tt0090036	4.4	1290
tt0090199	6.2	264
tt0090290	4.8	71
tt0090464	7.6	27
tt0090568	5.7	6127
tt0090604	6.6	92
tt0090623	5.9	48
tt0091005	7.0	53
tt0091255	7.7	33
tt0091490	5.5	42
tt0091501	4.2	99
tt0091592	7.4	68
tt0091843	5.9	44
tt0092023	6.5	100
tt0092064	3.7	47
tt0092107	6.2	14
tt0092128	7.4	334
tt0092152	8.5	28
tt0092341	7.0	9
tt0092365	6.2	24
tt0092379	8.2	14730
tt0092590	7.3	86
tt0092633	5.8	5
